1|Ngoài khu vực dân cư; đường hai chiều; đường một chiều có một làn xe: ô tô kéo rơ moóc 50km/h; mô tô, xe buýt, ôtô đầu kéo: 60km/h; xe trên 30 chỗ, xe tải trên 3,5 tấn: 70km/h; xe con, xe đến 30 chỗ, tải dưới 3,5 tấn: 80km/h.
1|Khoảng cách an toàn: 60km/h: 35m; 60 đến 80km/h: 55m; 80 đến 100km/h: 70m; 100 đến 120km/h: 100m.
1|Khoảng cách an toàn dưới 60km/h: Chủ động và đảm bảo khoảng cách.
1|Giảm tốc độ, chú ý quan sát khi gặp biển báo nguy hiểm.
1|Giảm tốc độ, đi sát về bên phải khi xe sau xin vượt.
1|Điểm giao cắt đường sắt thì ưu tiên đường sắt.
1|Nhường đường cho xe ưu tiên có tín hiệu còi, cờ, đèn.
1|Không vượt xe khác trên đường vòng, khuất tầm nhìn.
1|Nơi có vạch kẻ đường dành cho người đi bộ thì nhường đường.
1|Dừng xe, đỗ xe cách lề đường, hè phố không quá 0,25 mét.
1|Dừng xe, đỗ xe trên đường hẹp cách xe khác 20 mét.
1|Giảm tốc độ trên đường ướt, đường hẹp và đèo dốc.
1|Xe buýt đang dừng đón trả khách thì giảm tốc độ và từ từ vượt qua xe buýt.
2|Không lái xe liên tục quá 4 giờ.
2|Không làm việc 1 ngày của lái xe quá 10 giờ.
2|Người kinh doanh vận tải không được tự ý thay đổi vị trí đón trả khách.
2|Vận chuyển hàng nguy hiểm phải có giấy phép.
4|Xe mô tô xuống dốc dài cần sử dụng cả phanh trước và phanh sau để giảm tốc độ.
4|Khởi hành xe ô tô số tự động cần đạp phanh chân hết hành trình.
4|Thực hiện phanh tay cần phải bóp khóa hãm đẩy cần phanh tay về phía trước.
4|Khởi hành ô tô sử dụng hộp số đạp côn hết hành trình.
4|Thực hiện quay đầu xe với tốc độ thấp.
4|Lái xe ô tô qua đường sắt không rào chắn thì cách 5 mét hạ kính cửa, tắt âm thanh, quan sát.
4|Mở cửa xe thì quan sát rồi mới mở hé cánh cửa.
5|Yêu cầu của kính chắn gió, chọn “Loại kính an toàn“.
5|Âm lượng của còi là từ 90dB đến 115 dB.
5|Động cơ diesel không nổ do nhiên liệu lẫn tạp chất.
5|Dây đai an toàn có cơ cấu hãm giữ chặt dây khi giật dây đột ngột.
5|Động cơ 4 kỳ thì pít tông thực hiện 4 hành trình.
5|Hệ thống bôi trơn giảm ma sát.
5|Niên hạn ô tô trên 9 chỗ ngồi là 20 năm.
5|Niên hạn ô tô tải là 25 năm.
5|Động cơ ô tô biến nhiệt năng thành cơ năng.
5|Hệ thống truyền lực truyền mô men quay từ động cơ tới bánh xe.
5|Ly hợp (côn) truyền hoặc ngắt truyền động từ động cơ đến hộp số.
5|Hộp số ô tô đảm bảo chuyển động lùi.
5|Hệ thống lái dùng để thay đổi hướng.
5|Hệ thống phanh giúp giảm tốc độ.
5|Ắc quy để tích trữ điện năng.
5|Khởi động xe tự động phải đạp phanh.
7|Thứ tự ưu tiên không vòng xuyến: Xe vào ngã ba, ngã tư trước - Xe ưu tiên - Đường ưu tiên - Đường cùng cấp theo thứ tự bên phải trống - rẽ phải - đi thẳng - rẽ trái.
7|Giao nhau cùng cấp có vòng xuyến: Chưa vào vòng xuyến thì ưu tiên xe bên phải; đã vào vòng xuyến ưu tiên xe từ bên trái tới.
7|Thứ tự xe ưu tiên: Xe cứu hoả (mức độ thương vong lớn hơn); Xe công an; Xe cứu thương.
7|Xe ưu tiên cùng cấp như xe quân sự, xe công an sẽ xét theo thứ tự ưu tiên đường cùng cấp.
7|Giơ tay thẳng đứng: Tất cả dừng, trừ xe đã ở trong ngã tư được phép đi;<br/>Giang ngang tay: Trái phải đi; Trước sau dừng;<br/>Tay phải giơ trước: Sau, phải dừng, trước rẽ phải, trái đi các hướng, người đi bộ qua đường đi sau người điều khiển.
7|Xe xuống dốc phải nhường đường cho xe đang lên dốc.
